%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.967,82377.967,0.973,29.990,437.503,513.375,6.381,-15.000,0.000,-2074.149,3892.696,-104.296,-0.036,0.042,-13.948,290.235,70.681,-184.095,-284.286,-345.786,-380.800,-410.809,-389.297,-526.164,-476.858,-474.893,-446.280,-457.678,-474.313,-475.512
294.967,82377.967,0.973,29.990,437.503,513.375,6.381,-15.000,0.000,-2074.149,3892.696,-104.296,-0.036,0.042,7.906,290.122,69.931,-176.681,-265.499,-329.483,-378.023,-421.622,-393.651,-498.647,-481.182,-492.954,-473.153,-483.494,-494.111,-495.785
295.001,82379.968,0.973,29.992,437.523,513.968,6.378,-15.000,0.000,-2074.149,3908.516,-104.296,-0.035,0.042,-8.434,284.873,58.686,-192.345,-280.076,-332.702,-374.604,-421.301,-404.704,-522.724,-538.561,-514.733,-478.277,-457.469,-451.302,-452.086
294.812,82301.444,0.973,30.005,437.773,517.173,6.378,-15.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,13.754,289.228,71.430,-179.709,-271.438,-326.680,-363.602,-400.530,-377.351,-504.484,-484.874,-476.380,-472.839,-465.622,-461.149,-447.018
295.082,82434.018,0.973,30.016,438.394,515.800,6.373,-15.000,0.000,-2074.149,3895.901,-104.296,-0.035,0.042,28.051,289.563,68.217,-184.199,-280.572,-343.502,-381.654,-406.205,-373.667,-451.534,-442.578,-462.144,-457.050,-448.690,-465.606,-457.717
294.826,82309.968,0.973,30.031,438.546,514.299,6.370,-15.000,0.000,-2074.149,3878.479,-104.296,-0.036,0.043,18.412,274.264,53.867,-193.806,-285.214,-349.316,-396.609,-432.436,-389.074,-517.409,-508.395,-488.492,-484.760,-476.596,-481.154,-492.970
294.978,82385.199,0.973,30.026,438.578,513.704,6.365,-15.000,0.000,-2074.149,3866.811,-104.296,-0.036,0.042,-10.380,296.598,76.570,-178.770,-271.180,-328.652,-369.157,-420.016,-417.878,-553.681,-529.174,-522.276,-496.889,-487.466,-483.227,-483.734
295.044,82389.461,0.973,30.011,438.085,514.995,6.368,-15.000,0.000,-2074.149,3881.330,-104.296,-0.035,0.042,7.148,284.650,62.970,-188.167,-280.140,-336.440,-371.293,-405.348,-382.710,-473.631,-478.545,-454.283,-444.293,-453.289,-460.113,-460.984
294.810,82302.865,0.973,30.042,438.859,514.376,6.372,-15.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.043,14.079,282.305,63.612,-192.240,-288.129,-350.562,-390.520,-421.836,-396.894,-465.084,-475.170,-484.561,-476.917,-474.297,-499.086,-502.881
295.087,82427.561,0.973,30.046,439.232,515.649,6.361,-15.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.042,6.931,291.797,69.074,-183.051,-276.038,-341.424,-391.268,-437.789,-409.175,-521.765,-464.728,-455.664,-471.689,-466.144,-478.148,-490.605
