%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Applied Voltage [V],Angle of Attack [deg],Spanwise Location [in],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%7/13/20229:25 AM
296.01,82743.078,0.974,29.939,436.432,501.216,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-331.449,-1141.622,-1132.956,-937.838,-732.539,-613.602,-500.542,-314.772,-186.473,9.815,3.276,13.836,33.3,46.376,100.111,176.598,
296.241,82683.992,0.972,29.964,436.349,502.825,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-333.504,-1125.48,-1137.227,-939.714,-737.501,-610.591,-515.496,-334.365,-203.223,-9.278,-11.602,1.277,16.441,39.152,103.226,197.135,
296.241,82683.992,0.972,29.964,436.512,502.791,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-489.334,-1194.06,-1176.417,-951.177,-746.238,-616.924,-509.621,-326.549,-191.163,3.863,7.925,21.605,36.023,58.728,105.822,178.29,
296.365,82720.672,0.972,29.968,436.294,502.494,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-261.699,-1141.178,-1150.789,-936.901,-728.333,-604.776,-502.892,-313.915,-196.523,1.462,-4.746,8.727,22.514,39.257,92.114,164.636,
296.015,82757.867,0.974,29.95,436.82,502.898,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-210.657,-1138.951,-1165.311,-953.159,-746.449,-624.503,-523.935,-328.69,-203.446,-2.919,-9.071,2.129,19.477,31.824,92.218,182.127,
296.015,82757.867,0.974,29.95,436.82,502.898,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-323.988,-1138.395,-1161.574,-953.888,-743.645,-620.455,-507.271,-324.408,-185.803,5.012,4.227,17.455,31.939,46.899,105.719,201.084,
295.998,82740.234,0.974,29.956,436.608,500.893,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-351.131,-1150.418,-1157.623,-943.154,-736.527,-611.63,-511.653,-321.731,-184.017,6.369,9.827,21.712,38.117,50.563,97.514,180.209,
295.998,82740.234,0.974,29.956,436.917,501.678,6.357,10,1,3917.671,-2074.149,-104.296,-0.031,0.044,-251.75,-1116.685,-1139.898,-935.964,-763.489,-604.051,-522.334,-330.725,-186.362,-15.429,-15.083,-0.212,14.66,39.99,98.657,188.672,
296.098,82787.961,0.974,29.929,436.25,500.179,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-386.817,-1118.689,-1148.654,-945.655,-735.449,-613.499,-500.757,-315.843,-193.256,1.253,1.057,15.858,31.415,52.029,111.534,195.442,
296.012,82744.047,0.974,29.95,436.745,499.462,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-321.392,-1109.003,-1131.89,-937.839,-734.047,-609.242,-497.873,-298.82,-186.892,11.486,4.86,10.962,28.483,44.177,97.203,178.403,
296.113,82796.484,0.974,29.928,436.232,501.945,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-323.123,-1150.084,-1155.381,-953.68,-746.557,-620.767,-516.139,-332.224,-198.168,-19.703,-19.938,-7.012,5.969,30.777,91.18,168.022,
296.001,82739.594,0.974,29.919,435.841,498.851,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-285.057,-1135.611,-1139.684,-937.527,-727.899,-603.428,-491.464,-311.989,-188.567,6.996,3.17,14.685,33.614,49.83,108.419,205.937,
296.001,82739.594,0.974,29.919,435.841,498.851,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-359.35,-1115.238,-1142.674,-935.651,-730.488,-601.559,-492.853,-310.49,-181.421,5.638,3.486,11.067,28.379,39.048,90.141,179.419,
296.093,82784.602,0.974,29.932,436.318,501.639,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-318.256,-1140.844,-1160.933,-960.141,-758.205,-631.876,-528.53,-347.106,-206.653,-10.112,-3.165,8.3,24.399,41.665,92.945,174.115,
296.015,82744.625,0.974,29.938,436.388,500.632,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-248.506,-1109.782,-1140.539,-937.006,-735.017,-608.723,-513.575,-323.445,-187.115,9.397,10.459,19.58,32.882,51.296,107.054,196.232,
296.015,82744.625,0.974,29.938,436.388,500.632,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-397.199,-1148.749,-1153.352,-933.879,-727.899,-603.739,-503.321,-322.267,-195.712,-3.023,-5.486,5.746,22.619,42.607,96.048,162.833,
296.004,82741.656,0.974,29.939,436.867,498.683,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-343.617,-1130.045,-1158.798,-951.804,-749.253,-610.28,-504.603,-320.554,-190.241,-1.459,-4.325,7.981,22.41,42.921,103.42,192.962,
296.004,82741.656,0.974,29.939,436.426,498.683,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-280.581,-1118.578,-1146.839,-937.11,-742.567,-607.373,-503.321,-312.738,-177.849,-0.521,-5.275,6.491,26.598,39.362,100.72,192.624,
296.1,82790.602,0.974,29.939,436.548,502.908,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-447.632,-1158.1,-1154.1,-935.755,-729.193,-605.92,-504.603,-326.121,-193.814,-11.467,-4.642,8.62,22.41,38.943,89.402,174.23,
296.071,82773.945,0.974,29.942,436.596,500.82,6.357,10,1,3917.671,-2074.149,-104.296,-0.03,0.044,-319.505,-1117.687,-1141.393,-946.489,-733.507,-610.384,-507.914,-322.481,-189.348,5.116,4.754,16.175,32.149,50.773,105.808,189.915,
296.075,82794.156,0.974,30.196,444.118,510.314,6.426,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-377.244,-1214.214,-1213.766,-1029.55,-830.032,-692.301,-594.117,-410.384,-216.253,-12.406,1.902,23.411,49.629,66.79,119.618,206.051,
295.961,82736.875,0.974,30.211,444.668,511.221,6.426,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-410.762,-1225.457,-1227.223,-1030.071,-849.013,-687.632,-586.746,-400.534,-214.467,-14.908,2.536,22.986,45.545,68.255,124.29,215.417,
296.101,82804.164,0.974,30.211,444.591,509.767,6.426,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-436.928,-1230.801,-1227.672,-1023.922,-815.257,-692.612,-591.339,-399.035,-209.331,-25.124,-11.499,11.706,38.007,62.288,119.721,206.39,
296.018,82763.289,0.974,30.24,445.535,511.739,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-392.165,-1228.909,-1220.304,-1030.487,-833.267,-691.679,-589.523,-402.247,-212.122,-21.996,-9.283,11.174,38.112,59.462,116.087,207.857,
296.074,82790.539,0.974,30.254,445.809,516.588,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-462.554,-1248.392,-1243.262,-1038.198,-829.277,-698.419,-601.273,-401.497,-215.36,-22.83,-9.494,13.515,37.902,59.985,121.487,207.97,
296.074,82790.539,0.974,30.254,445.809,516.588,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-415.736,-1226.125,-1224.789,-1022.879,-819.894,-690.744,-580.764,-392.718,-206.428,-8.548,0.845,21.177,47.325,64.068,114.01,200.748,
295.96,82736.102,0.974,30.279,446.442,512.641,6.425,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-395.193,-1228.797,-1222.12,-1025.484,-818.923,-695.203,-597.961,-411.775,-229.427,-25.124,-5.486,17.771,38.74,60.823,109.546,203.795,
296.007,82757.352,0.974,30.287,446.727,514.302,6.425,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-427.954,-1226.014,-1224.789,-1030.591,-822.267,-694.27,-591.125,-396.785,-204.419,-8.548,5.706,29.583,49.838,77.887,131.87,217.336,
296.007,82757.352,0.974,30.287,446.727,514.302,6.425,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-384.813,-1216.551,-1217.742,-1027.464,-850.415,-680.467,-588.668,-401.817,-217.036,-21.475,-8.439,11.706,40.101,57.263,110.999,201.199,
296.015,82763.031,0.974,30.302,447.167,514.555,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-413.898,-1220.225,-1220.945,-1032.467,-843.189,-696.966,-597.106,-414.45,-229.093,-22.935,-6.646,15.643,36.646,60.09,113.907,202.215,
295.952,82734.164,0.974,30.309,447.321,513.527,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-434.658,-1240.153,-1234.72,-1034.03,-828.522,-693.025,-597.961,-405.457,-218.599,-21.58,-8.123,13.302,38.53,62.602,117.125,202.553,
296.102,82807.203,0.974,30.305,447.321,513.527,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-410.438,-1251.954,-1244.543,-1049.974,-851.494,-710.239,-610.672,-414.772,-229.652,-29.711,-11.288,11.174,33.819,59.043,118.06,208.985,
296.014,82763.094,0.974,30.336,447.37,513.691,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-428.603,-1233.362,-1234.186,-1039.97,-850.847,-688.254,-590.27,-400.211,-208.328,-18.765,-6.963,13.728,40.212,58.624,110.792,201.763,
296.008,82760.187,0.974,30.346,448.474,518.361,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-432.928,-1245.274,-1239.845,-1047.578,-839.846,-706.091,-605.652,-414.45,-223.623,-26.479,-11.182,12.238,33.196,58.624,110.584,199.168,
296.008,82760.187,0.974,30.346,448.474,518.361,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-389.354,-1230.245,-1233.652,-1038.198,-837.905,-699.766,-602.34,-411.988,-224.404,-14.699,2.113,23.624,43.772,65.324,120.034,207.857,
295.954,82734.234,0.974,30.359,448.793,515.324,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-402.653,-1235.811,-1260.347,-1054.247,-836.611,-703.602,-610.031,-414.343,-222.953,-18.035,-0.211,22.773,46.6,69.198,115.569,205.488,
295.954,82734.234,0.974,30.359,448.793,515.324,6.424,10,2,3917.671,-2074.149,104.223,-0.031,0.044,-401.633,-1230.245,-1230.555,-1034.655,-830.14,-693.233,-603.088,-414.45,-228.982,-20.12,-7.068,13.94,38.746,57.892,113.077,201.425,
296.009,82762.898,0.974,30.377,449.397,513.262,6.423,10,2,3917.671,-2074.149,104.223,-0.03,0.044,-400.552,-1240.931,-1241.447,-1039.345,-862.494,-690.537,-600.631,-407.812,-225.521,-24.811,-9.705,12.451,34.662,61.765,118.165,204.698,
