type,latitude,longitude,altitude
T,40.0101,-105.2437,1549.10
T,40.0101,-105.2437,1549.30
T,40.0101,-105.2437,1549.50
T,40.0101,-105.2437,1549.80
T,40.0101,-105.2437,1549.90
T,40.0100,-105.2437,1550.10
T,40.0100,-105.2436,1550.40
T,40.0101,-105.2436,1550.90
T,40.0101,-105.2435,1551.20
T,40.0101,-105.2435,1552.20
T,40.0102,-105.2435,1553.50
T,40.0102,-105.2436,1554.10
T,40.0102,-105.2436,1554.70
T,40.0102,-105.2437,1555.30
T,40.0103,-105.2437,1556.20
T,40.0103,-105.2436,1556.80
T,40.0104,-105.2436,1557.50
T,40.0105,-105.2436,1558.30
T,40.0105,-105.2435,1558.90
T,40.0106,-105.2435,1559.40
T,40.0107,-105.2435,1559.90
T,40.0107,-105.2434,1560.40
T,40.0104,-105.2439,1628.00
T,40.0104,-105.2439,1631.60
T,40.0104,-105.2439,1632.50
T,40.0104,-105.2438,1632.80
T,40.0104,-105.2438,1632.80
T,40.0104,-105.2438,1633.00
T,40.0104,-105.2438,1633.40
T,40.0103,-105.2438,1633.50
T,40.0103,-105.2438,1633.30
T,40.0103,-105.2438,1634.00
T,40.0103,-105.2438,1634.40
T,40.0103,-105.2438,1634.50
T,40.0103,-105.2438,1632.80
T,40.0103,-105.2438,1630.80
T,40.0103,-105.2438,1629.00
T,40.0103,-105.2439,1627.30
T,40.0103,-105.2439,1626.20
T,40.0103,-105.2439,1625.80
T,40.0103,-105.2439,1625.70
T,40.0103,-105.2439,1625.00
T,40.0103,-105.2439,1623.20
T,40.0103,-105.2439,1622.10
T,40.0103,-105.2439,1621.10
T,40.0103,-105.2439,1619.90
T,40.0103,-105.2439,1619.30
T,40.0103,-105.2439,1618.70
T,40.0103,-105.2439,1618.20
T,40.0103,-105.2438,1617.30
T,40.0103,-105.2438,1616.10
T,40.0103,-105.2438,1614.50
T,40.0103,-105.2438,1612.80
T,40.0103,-105.2438,1610.90
T,40.0103,-105.2437,1609.40
T,40.0103,-105.2437,1608.20
T,40.0103,-105.2437,1607.60
T,40.0103,-105.2437,1607.40
T,40.0103,-105.2437,1606.70
T,40.0102,-105.2437,1606.40
T,40.0103,-105.2437,1605.90
T,40.0103,-105.2437,1605.50
T,40.0103,-105.2437,1605.10
T,40.0103,-105.2437,1604.10
T,40.0103,-105.2437,1603.40
T,40.0103,-105.2438,1602.40
T,40.0103,-105.2438,1601.40
T,40.0103,-105.2438,1600.50
T,40.0104,-105.2438,1599.20
T,40.0104,-105.2438,1598.00
T,40.0104,-105.2438,1596.70
T,40.0104,-105.2438,1595.60
T,40.0104,-105.2438,1594.60
T,40.0104,-105.2438,1594.10
T,40.0104,-105.2438,1593.30
T,40.0104,-105.2437,1592.40
T,40.0104,-105.2437,1591.80
T,40.0104,-105.2437,1591.20
T,40.0103,-105.2437,1590.20
T,40.0103,-105.2437,1589.50
T,40.0103,-105.2437,1588.80
T,40.0103,-105.2437,1588.20
T,40.0103,-105.2437,1587.70
T,40.0103,-105.2436,1587.40
T,40.0102,-105.2436,1587.00
T,40.0102,-105.2436,1586.70
T,40.0102,-105.2436,1586.60
T,40.0103,-105.2436,1586.80
T,40.0103,-105.2436,1586.80
T,40.0103,-105.2437,1586.80
T,40.0103,-105.2437,1586.80
T,40.0103,-105.2437,1586.80
T,40.0103,-105.2437,1586.80
T,40.0103,-105.2437,1586.90
T,40.0103,-105.2437,1587.00
T,40.0103,-105.2437,1587.10
T,40.0103,-105.2437,1587.10
T,40.0103,-105.2437,1587.20
T,40.0103,-105.2437,1587.30
T,40.0103,-105.2437,1587.30
T,40.0104,-105.2437,1587.10
T,40.0104,-105.2437,1587.00
T,40.0104,-105.2437,1587.20
T,40.0104,-105.2437,1587.20
T,40.0104,-105.2437,1587.20
T,40.0103,-105.2436,1590.80
T,40.0102,-105.2435,1591.70
T,40.0102,-105.2435,1592.60
T,40.0102,-105.2435,1593.20
T,40.0102,-105.2436,1593.80
T,40.0102,-105.2436,1594.00
T,40.0102,-105.2436,1593.90
T,40.0102,-105.2436,1594.00
T,40.0102,-105.2436,1593.80
T,40.0102,-105.2437,1593.70
T,40.0102,-105.2437,1593.60
T,40.0102,-105.2438,1593.90
T,40.0102,-105.2438,1593.90
T,40.0102,-105.2439,1593.90
T,40.0102,-105.2439,1593.90
T,40.0102,-105.2439,1593.90
T,40.0102,-105.2439,1593.90
T,40.0102,-105.2440,1594.00
T,40.0102,-105.2440,1593.90
T,40.0102,-105.2440,1594.00
T,40.0102,-105.2440,1594.00
T,40.0102,-105.2440,1594.20
T,40.0102,-105.2441,1594.40
T,40.0102,-105.2441,1594.40
T,40.0102,-105.2441,1594.40
T,40.0102,-105.2441,1594.40
T,40.0102,-105.2441,1594.30
T,40.0102,-105.2441,1594.30
T,40.0102,-105.2441,1594.10
T,40.0102,-105.2441,1594.00
T,40.0102,-105.2441,1593.80
T,40.0102,-105.2440,1593.60
T,40.0102,-105.2440,1593.40
T,40.0102,-105.2440,1593.20
T,40.0102,-105.2440,1592.90
T,40.0102,-105.2440,1592.80
T,40.0102,-105.2440,1592.60
T,40.0102,-105.2440,1592.50
T,40.0102,-105.2440,1592.40
T,40.0102,-105.2439,1592.30
T,40.0102,-105.2439,1592.20
T,40.0102,-105.2439,1592.20
T,40.0102,-105.2439,1592.20
T,40.0102,-105.2440,1592.10
T,40.0102,-105.2440,1592.10
T,40.0102,-105.2440,1592.00
T,40.0102,-105.2440,1592.00
