  rho           t         isp          cf          mw         gam
   1.2425E+01  2.1552E+03  0.0000E+00  0.0000E+00  2.2249E+01  1.2625E+00
   7.7627E+00  1.9022E+03  9.4959E+02  6.9946E-01  2.2252E+01  1.2687E+00
   2.0466E+00  1.3224E+03  1.7102E+03  1.2597E+00  2.2262E+01  1.2723E+00
   1.4124E+00  1.1989E+03  1.8349E+03  1.3516E+00  2.2288E+01  1.2602E+00
   1.0951E+00  1.1271E+03  1.9086E+03  1.4058E+00  2.2337E+01  1.2410E+00
   9.0031E-01  1.0805E+03  1.9597E+03  1.4435E+00  2.2405E+01  1.2214E+00
   7.6717E-01  1.0477E+03  1.9984E+03  1.4720E+00  2.2481E+01  1.2056E+00
   6.6998E-01  1.0232E+03  2.0292E+03  1.4947E+00  2.2557E+01  1.1938E+00
   5.9568E-01  1.0040E+03  2.0547E+03  1.5135E+00  2.2631E+01  1.1849E+00
   5.3696E-01  9.8834E+02  2.0764E+03  1.5295E+00  2.2701E+01  1.1781E+00
   4.8932E-01  9.7517E+02  2.0952E+03  1.5433E+00  2.2766E+01  1.1727E+00
   4.4985E-01  9.6387E+02  2.1118E+03  1.5555E+00  2.2828E+01  1.1684E+00
   4.1659E-01  9.5400E+02  2.1265E+03  1.5664E+00  2.2885E+01  1.1648E+00
   3.8816E-01  9.4527E+02  2.1398E+03  1.5762E+00  2.2939E+01  1.1618E+00
   3.6342E-01  9.3796E+02  2.1519E+03  1.5851E+00  2.2981E+01  1.1451E+00
   3.4168E-01  9.3192E+02  2.1629E+03  1.5932E+00  2.3012E+01  1.1440E+00
   3.2253E-01  9.2636E+02  2.1731E+03  1.6007E+00  2.3041E+01  1.1429E+00
   3.0552E-01  9.2121E+02  2.1826E+03  1.6077E+00  2.3069E+01  1.1420E+00
