*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
2453705.500000000, A.D. 2005-Dec-01 00:00:00.0000,  1.178821808105448E+08,  1.893259785531964E+08,  1.071027946092889E+06, -1.964902977596544E+01,  1.487163617077651E+01,  7.943139115833411E-01,
2453710.500000000, A.D. 2005-Dec-06 00:00:00.0000,  1.092659424019396E+08,  1.955377593252119E+08,  1.412854202619150E+06, -2.023232078613108E+01,  1.388344052053481E+01,  7.879363464493823E-01,
2453715.500000000, A.D. 2005-Dec-11 00:00:00.0000,  1.004089224475570E+08,  2.013187392645975E+08,  1.751568470919400E+06, -2.076376417512104E+01,  1.287765908354044E+01,  7.799166041588652E-01,
2453720.500000000, A.D. 2005-Dec-16 00:00:00.0000,  9.133350185355215E+07,  2.066619252905460E+08,  2.086474426639512E+06, -2.124346443936029E+01,  1.185707248455927E+01,  7.703155491684832E-01,
2453725.500000000, A.D. 2005-Dec-21 00:00:00.0000,  8.206198539153764E+07,  2.115615049731165E+08,  2.416902379003435E+06, -2.167166736663856E+01,  1.082436511332948E+01,  7.591955627353628E-01,
2453730.500000000, A.D. 2005-Dec-26 00:00:00.0000,  7.261654361894664E+07,  2.160128039845276E+08,  2.742209786239028E+06, -2.204874652305548E+01,  9.782121081319522E+00,  7.466199652880232E-01,
2453735.500000000, A.D. 2005-Dec-31 00:00:00.0000,  6.301916034068871E+07,  2.200122419713320E+08,  3.061781613902405E+06, -2.237519071013342E+01,  8.732820622450589E+00,  7.326526555972643E-01,
2453740.500000000, A.D. 2006-Jan-05 00:00:00.0000,  5.329158543408653E+07,  2.235572873280672E+08,  3.375030542382106E+06, -2.265159214291961E+01,  7.678838398108283E+00,  7.173579810826300E-01,
2453745.500000000, A.D. 2006-Jan-10 00:00:00.0000,  4.345529283104815E+07,  2.266464113571391E+08,  3.681397037275866E+06, -2.287863438400963E+01,  6.622442865878306E+00,  7.008002627445435E-01,
2453750.500000000, A.D. 2006-Jan-15 00:00:00.0000,  3.353144341166194E+07,  2.292790422689682E+08,  3.980349298630655E+06, -2.305708125316401E+01,  5.565795898641273E+00,  6.830434778542764E-01,
2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000,  2.354085253932816E+07,  2.314555194131145E+08,  4.271383100643858E+06, -2.318776684241192E+01,  4.510953896656194E+00,  6.641512429056355E-01,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000,  1.350396193864547E+07,  2.331770480674395E+08,  4.554021536107033E+06, -2.327158547689602E+01,  3.459869761076935E+00,  6.441864689474526E-01,
2453765.500000000, A.D. 2006-Jan-30 00:00:00.0000,  3.440815605066335E+06,  2.344456550704147E+08,  4.827814680547714E+06, -2.330948261549223E+01,  2.414394669613828E+00,  6.232110921438241E-01,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -6.628960556103859E+06,  2.352641455306461E+08,  5.092339185152456E+06, -2.330244701669679E+01,  1.376280865668451E+00,  6.012861446465098E-01,
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000, -1.668617565758581E+07,  2.356360607964262E+08,  5.347197808060378E+06, -2.325150284573251E+01,  3.471851778957195E-01,  5.784715228932884E-01,
2453780.500000000, A.D. 2006-Feb-14 00:00:00.0000, -2.671208759490011E+07,  2.355656378517147E+08,  5.592018893961862E+06, -2.315770241619321E+01, -6.713279022891597E-01,  5.548257399422396E-01,
2453785.500000000, A.D. 2006-Feb-19 00:00:00.0000, -3.668841388012333E+07,  2.350577703316987E+08,  5.826455809617773E+06, -2.302212015445125E+01, -1.677782233098895E+00,  5.304060604516049E-01,
2453790.500000000, A.D. 2006-Feb-24 00:00:00.0000, -4.659733986696341E+07,  2.341179714251515E+08,  6.050186361554727E+06, -2.284584696055818E+01, -2.670784877495133E+00,  5.052684583949468E-01,
2453795.500000000, A.D. 2006-Mar-01 00:00:00.0000, -5.642152496992698E+07,  2.327523388033609E+08,  6.262912241769955E+06, -2.262998606360112E+01, -3.649022029033181E+00,  4.794675397220137E-01,
2453800.500000000, A.D. 2006-Mar-06 00:00:00.0000, -6.614410735942920E+07,  2.309675211657124E+08,  6.464358490389243E+06, -2.237564988257513E+01, -4.611256122350538E+00,  4.530566987645221E-01,
2453805.500000000, A.D. 2006-Mar-11 00:00:00.0000, -7.574870687643349E+07,  2.287706860390638E+08,  6.654272905024797E+06, -2.208395531899018E+01, -5.556322164087319E+00,  4.260879489253810E-01,
2453810.500000000, A.D. 2006-Mar-16 00:00:00.0000, -8.521942598292062E+07,  2.261694892519509E+08,  6.832425401182070E+06, -2.175601923482837E+01, -6.483123490846635E+00,  3.986116859673663E-01,
2453815.500000000, A.D. 2006-Mar-21 00:00:00.0000, -9.454084919907457E+07,  2.231720464573283E+08,  6.998607379414991E+06, -2.139295597609609E+01, -7.390627282663605E+00,  3.706769177361626E-01,
2453820.500000000, A.D. 2006-Mar-26 00:00:00.0000, -1.036980414773604E+08,  2.197869066102615E+08,  7.152631119566396E+06, -2.099587523765032E+01, -8.277859757531949E+00,  3.423313685287912E-01,
2453825.500000000, A.D. 2006-Mar-31 00:00:00.0000, -1.126765457347792E+08,  2.160230272318197E+08,  7.294329200776130E+06, -2.056587987154501E+01, -9.143902348983472E+00,  3.136213244643122E-01,
2453830.500000000, A.D. 2006-Apr-05 00:00:00.0000, -1.214623796750376E+08,  2.118897513692122E+08,  7.423553942445636E+06, -2.010406472864437E+01, -9.987888200527921E+00,  2.845918169698791E-01,
2453835.500000000, A.D. 2006-Apr-10 00:00:00.0000, -1.300420320279250E+08,  2.073967861890848E+08,  7.540176863869697E+06, -1.961151557830555E+01, -1.080899796390066E+01,  2.552867566539292E-01,
2453840.500000000, A.D. 2006-Apr-15 00:00:00.0000, -1.384024583448045E+08,  2.025541831482082E+08,  7.644088166602448E+06, -1.908930779983261E+01, -1.160645628832522E+01,  2.257487749963092E-01,
2453845.500000000, A.D. 2006-Apr-20 00:00:00.0000, -1.465310764783702E+08,  1.973723196883467E+08,  7.735196241292283E+06, -1.853850605522128E+01, -1.237952878375304E+01,  1.960193782615143E-01,
2453850.500000000, A.D. 2006-Apr-25 00:00:00.0000, -1.544157618629520E+08,  1.918618823860463E+08,  7.813427198065847E+06, -1.796016416825437E+01, -1.312751829358765E+01,  1.661391339189731E-01,
2453855.500000000, A.D. 2006-Apr-30 00:00:00.0000, -1.620448427102383E+08,  1.860338514822986E+08,  7.878724423506849E+06, -1.735532460470850E+01, -1.384976175676986E+01,  1.361475236500631E-01,
2453860.500000000, A.D. 2006-May-05 00:00:00.0000, -1.694070952153652E+08,  1.798994867202578E+08,  7.931048164459042E+06, -1.672501876154543E+01, -1.454562774042026E+01,  1.060830543033333E-01,
2453865.500000000, A.D. 2006-May-10 00:00:00.0000, -1.764917388387081E+08,  1.734703144097760E+08,  7.970375134148888E+06, -1.607026749063809E+01, -1.521451330564074E+01,  7.598347196472410E-02,
2453870.500000000, A.D. 2006-May-15 00:00:00.0000, -1.832884317022970E+08,  1.667581156606092E+08,  7.996698139899679E+06, -1.539208095508050E+01, -1.585584117303127E+01,  4.588561690847470E-02,
2453875.500000000, A.D. 2006-May-20 00:00:00.0000, -1.897872661358166E+08,  1.597749158263647E+08,  8.010025738760896E+06, -1.469145917834948E+01, -1.646905727325348E+01,  1.582551432125001E-02,
2453880.500000000, A.D. 2006-May-25 00:00:00.0000, -1.959787645819692E+08,  1.525329752705008E+08,  8.010381946937613E+06, -1.396939374806038E+01, -1.705362739406480E+01, -1.416126178027355E-02,
2453885.500000000, A.D. 2006-May-30 00:00:00.0000, -2.018538763192559E+08,  1.450447812489178E+08,  7.997806029473320E+06, -1.322686967245232E+01, -1.760903506959106E+01, -4.403960061363588E-02,
2453890.500000000, A.D. 2006-Jun-04 00:00:00.0000, -2.074039750171382E+08,  1.373230402744339E+08,  7.972352320425585E+06, -1.246486664134126E+01, -1.813478146907243E+01, -7.377492742471770E-02,
2453895.500000000, A.D. 2006-Jun-09 00:00:00.0000, -2.126208565449234E+08,  1.293806708549863E+08,  7.934090010149702E+06, -1.168435961720753E+01, -1.863038380648448E+01, -1.033330609738368E-01,
2453900.500000000, A.D. 2006-Jun-14 00:00:00.0000, -2.174967369566769E+08,  1.212307970535197E+08,  7.883102932201691E+06, -1.088631932540154E+01, -1.909537280430257E+01, -1.326802897449264E-01,
2453905.500000000, A.D. 2006-Jun-19 00:00:00.0000, -2.220242510289003E+08,  1.128867429643422E+08,  7.819489395113468E+06, -1.007171374957430E+01, -1.952929126307593E+01, -1.617833413752221E-01,
