*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
2453541.500000000, A.D. 2005-Jun-20 00:00:00.0000, -3.429775552390953E+06, -1.519765803033842E+08,  2.158981489352882E+03,  2.928439380012879E+01, -7.774807618324375E-01,  8.493354142165566E-04,
2453543.500000000, A.D. 2005-Jun-22 00:00:00.0000,  1.631353421165184E+06, -1.520257044110980E+08,  2.268939730405807E+03,  2.928848258396242E+01,  2.087107499535248E-01,  3.918471306274540E-04,
2453545.500000000, A.D. 2005-Jun-24 00:00:00.0000,  6.690611790486814E+06, -1.519044991865906E+08,  2.287392035871744E+03,  2.926280214644686E+01,  1.194059198528797E+00, -1.849545305472877E-04,
2453547.500000000, A.D. 2005-Jun-26 00:00:00.0000,  1.174284782214604E+07, -1.516130392103420E+08,  2.207812389150262E+03,  2.920704932562963E+01,  2.179352509297474E+00, -7.143420612319984E-04,
2453549.500000000, A.D. 2005-Jun-28 00:00:00.0000,  1.678276024772240E+07, -1.511513099333856E+08,  2.051504254952073E+03,  2.911990753580802E+01,  3.164694579106717E+00, -1.056065935661543E-03,
2453551.500000000, A.D. 2005-Jun-30 00:00:00.0000,  2.180479355632341E+07, -1.505193713288630E+08,  1.857064876228571E+03,  2.899989528238520E+01,  4.149135495992829E+00, -1.153225892060128E-03,
2453553.500000000, A.D. 2005-Jul-02 00:00:00.0000,  2.680316945997363E+07, -1.497175153216576E+08,  1.666228850163519E+03,  2.884596767839806E+01,  5.131022849580162E+00, -1.021087541883903E-03,
2453555.500000000, A.D. 2005-Jul-04 00:00:00.0000,  3.177197659549232E+07, -1.487463478430218E+08,  1.514267177350819E+03,  2.865762131607857E+01,  6.108429870579932E+00, -7.143054791201031E-04,
2453557.500000000, A.D. 2005-Jul-06 00:00:00.0000,  3.670525746152450E+07, -1.476068135769834E+08,  1.425296904258430E+03,  2.843480941223585E+01,  7.079387664911877E+00, -3.046852817529810E-04,
2453559.500000000, A.D. 2005-Jul-08 00:00:00.0000,  4.159707960705009E+07, -1.463001925232948E+08,  1.410473549552262E+03,  2.817785592658503E+01,  8.041998700584085E+00,  1.312150256098654E-04,
2453561.500000000, A.D. 2005-Jul-10 00:00:00.0000,  4.644159309357482E+07, -1.448280810093423E+08,  1.467951481737196E+03,  2.788737874893386E+01,  8.994508390860677E+00,  5.206747642039211E-04,
2453563.500000000, A.D. 2005-Jul-12 00:00:00.0000,  5.123307460330196E+07, -1.431923636031100E+08,  1.584051262199879E+03,  2.756421459229286E+01,  9.935336488544120E+00,  7.999194704648716E-04,
2453565.500000000, A.D. 2005-Jul-14 00:00:00.0000,  5.596596114006126E+07, -1.413951832178261E+08,  1.734929795645177E+03,  2.720938182516721E+01,  1.086307138553074E+01,  9.150091636982438E-04,
2453567.500000000, A.D. 2005-Jul-16 00:00:00.0000,  6.063488341113219E+07, -1.394389113288825E+08,  1.888306656673551E+03,  2.682411513981431E+01,  1.177649061054893E+01,  8.229288341583541E-04,
2453569.500000000, A.D. 2005-Jul-18 00:00:00.0000,  6.523470859744507E+07, -1.373261043779630E+08,  2.006148286893964E+03,  2.640991818354459E+01,  1.267471888221299E+01,  5.037300110304344E-04,
2453571.500000000, A.D. 2005-Jul-20 00:00:00.0000,  6.976057895442250E+07, -1.350594166735044E+08,  2.051158411070704E+03,  2.596841094338921E+01,  1.355755934770659E+01, -7.414491557611314E-06,
2453573.500000000, A.D. 2005-Jul-22 00:00:00.0000,  7.420788543855251E+07, -1.326414609745775E+08,  1.999383585385978E+03,  2.550071289223902E+01,  1.442567017498826E+01, -5.893306834581225E-04,
2453575.500000000, A.D. 2005-Jul-24 00:00:00.0000,  7.857211299613592E+07, -1.300746987522794E+08,  1.853596917301416E+03,  2.500671994305701E+01,  1.527996943373779E+01, -1.066881143334086E-03,
2453577.500000000, A.D. 2005-Jul-26 00:00:00.0000,  8.284862731782845E+07, -1.273614922044073E+08,  1.644399995997548E+03,  2.448528927198361E+01,  1.612053207912254E+01, -1.309919065607623E-03,
2453579.500000000, A.D. 2005-Jul-28 00:00:00.0000,  8.703258063113368E+07, -1.245042978078314E+08,  1.416119201004505E+03,  2.393526672236291E+01,  1.694623053835222E+01, -1.291059078293522E-03,
