#
# This text file contains four columns:
#  [1] the name of an exoplanet
#  [2] planet's radius, in Earth radii
#  [3] star's radius, in solar radii
#  [4] energy flux the planet receives from its star,
#       (relative to what Earth receives from the Sun)
#
55 Cnce,            2.17,  0.94, 2.44e+03
BD+20 594b,         2.23,  0.93, 1.48e+01
CoRoT-10b,         10.87,  0.79, 2.82e+01
CoRoT-11b,         16.03,  1.37, 1.51e+03
CoRoT-12b,         16.14,  1.12, 7.27e+02
CoRoT-13b,          9.92,  1.01, 4.45e+02
CoRoT-14b,         12.22,  1.21, 2.42e+03
CoRoT-16b,         13.11,  1.19, 3.39e+02
CoRoT-17b,         11.43,  1.59, 1.17e+03
CoRoT-18b,         14.68,  1.00, 9.05e+02
CoRoT-19b,         14.46,  1.65, 1.28e+03
CoRoT-1b,          16.70,  1.11, 2.16e+03
CoRoT-20b,          9.42,  1.02, 1.39e+02
CoRoT-22b,          4.88,  1.14, 1.73e+02
CoRoT-23b,         11.77,  1.61, 1.08e+03
CoRoT-24b,          3.70,  0.86, 2.11e+02
CoRoT-24c,          5.00,  0.86, 7.72e+01
CoRoT-25b,         12.11,  1.19, 5.33e+02
CoRoT-26b,         14.12,  1.79, 1.03e+03
CoRoT-27b,         11.29,  1.08, 5.62e+02
CoRoT-28b,         10.71,  1.78, 5.52e+02
CoRoT-29b,         10.09,  0.90, 3.75e+02
CoRoT-2b,          16.43,  0.91, 9.55e+02
CoRoT-3b,          11.32,  1.56, 1.41e+03
CoRoT-4b,          13.34,  1.17, 2.03e+02
CoRoT-5b,          15.56,  1.19, 7.17e+02
CoRoT-6b,          13.07,  1.02, 1.78e+02
CoRoT-7b,           1.58,  0.82, 1.59e+03
CoRoT-8b,           6.39,  0.77, 8.96e+01
CoRoT-9b,          11.77,  0.94, 4.82e+00
EPIC 211351816b,   14.68,  4.20, 1.16e+03
EPIC 211391664b,    4.30,  1.31, 2.47e+02
GJ 1132b,           1.16,  0.21, 1.86e+01
GJ 1214b,           2.72,  0.21, 2.18e+01
GJ 3470b,           3.88,  0.48, 3.81e+01
GJ 436b,            4.17,  0.46, 3.01e+01
