# 
# This file contains a model solar spectrum, originally from
# http://phoenix.astro.physik.uni-goettingen.de
# 
# wavelength              flux
#  (nm)                    (W/m**3)
# 
3.000000000000000000e+02 2.656344240092129883e+12
3.001000000000000227e+02 3.681783552059119141e+12
3.001999999999999886e+02 4.696833900822122070e+12
3.003000000000000114e+02 5.813121892424861328e+12
3.003999999999999773e+02 7.128834508537164062e+12
3.005000000000000000e+02 8.478880712819887695e+12
3.006000000000000227e+02 9.447228734915664062e+12
3.006999999999999886e+02 9.732145292984402344e+12
3.008000000000000114e+02 9.492235670985666016e+12
3.008999999999999773e+02 9.239628355685378906e+12
3.010000000000000000e+02 9.379353233171109375e+12
3.011000000000000227e+02 9.923273035469357422e+12
3.011999999999999886e+02 1.062553928725500781e+13
3.013000000000000114e+02 1.124067969661737109e+13
3.013999999999999773e+02 1.159093994951548633e+13
3.015000000000000000e+02 1.153014550286600391e+13
3.016000000000000227e+02 1.098144991453630078e+13
3.016999999999999886e+02 9.987106328588306641e+12
3.018000000000000114e+02 8.688618213769811523e+12
3.018999999999999773e+02 7.315564067116989258e+12
3.020000000000000000e+02 6.210829629060301758e+12
3.021000000000000227e+02 5.763977554942481445e+12
3.021999999999999886e+02 6.179481031900625000e+12
3.023000000000000114e+02 7.253803712594464844e+12
3.023999999999999773e+02 8.459135831207843750e+12
3.025000000000000000e+02 9.363203767569505859e+12
3.026000000000000227e+02 9.973646832218875000e+12
3.026999999999999886e+02 1.059611003768435938e+13
3.028000000000000114e+02 1.137418440977288867e+13
3.028999999999999773e+02 1.210083406240999023e+13
3.030000000000000000e+02 1.252049588612025195e+13
3.031000000000000227e+02 1.267635965419656836e+13
3.031999999999999886e+02 1.283799214857838867e+13
3.033000000000000114e+02 1.313421800117012695e+13
3.033999999999999773e+02 1.336460975960631641e+13
3.035000000000000000e+02 1.318863171589805273e+13
3.036000000000000227e+02 1.246277332547668555e+13
3.036999999999999886e+02 1.141480611161147852e+13
3.038000000000000114e+02 1.051870369247157617e+13
3.038999999999999773e+02 1.014175367734558594e+13
3.040000000000000000e+02 1.026855223373535547e+13
3.041000000000000227e+02 1.060436709604057031e+13
3.041999999999999886e+02 1.092187112404321289e+13
3.043000000000000114e+02 1.120730639085116406e+13
3.043999999999999773e+02 1.147874350882279102e+13
3.045000000000000000e+02 1.160140752400950000e+13
3.046000000000000227e+02 1.138719455737692578e+13
3.046999999999999886e+02 1.086792413657663281e+13
3.048000000000000114e+02 1.038293421952488281e+13
3.048999999999999773e+02 1.031529331714103711e+13
3.050000000000000000e+02 1.075483682820736133e+13
3.051000000000000227e+02 1.145851982262222461e+13
3.051999999999999886e+02 1.207014216826273828e+13
3.053000000000000114e+02 1.232200836384961328e+13
3.053999999999999773e+02 1.212747548184900000e+13
3.055000000000000000e+02 1.156921152171305469e+13
3.056000000000000227e+02 1.077483327306316406e+13
3.056999999999999886e+02 9.849397228364662109e+12
3.058000000000000114e+02 9.008124407511757812e+12
3.058999999999999773e+02 8.658609351948241211e+12
3.060000000000000000e+02 9.148959674051617188e+12
3.061000000000000227e+02 1.040780256076226367e+13
3.061999999999999886e+02 1.192142480619712109e+13
3.063000000000000114e+02 1.307933983481614844e+13
3.063999999999999773e+02 1.352422260142248828e+13
3.065000000000000000e+02 1.326080181777281055e+13
3.066000000000000227e+02 1.260132171578584375e+13
3.066999999999999886e+02 1.206215752028997461e+13
3.068000000000000114e+02 1.214155823310878516e+13
3.068999999999999773e+02 1.296913658983695508e+13
3.070000000000000000e+02 1.414008914452792188e+13
3.071000000000000227e+02 1.501281165707237891e+13
3.071999999999999886e+02 1.521606694786694727e+13
3.073000000000000114e+02 1.484656451881071094e+13
3.073999999999999773e+02 1.424532674226451758e+13
3.075000000000000000e+02 1.370688733943599805e+13
3.076000000000000227e+02 1.338856215907070117e+13
3.076999999999999886e+02 1.332214337783792383e+13
3.078000000000000114e+02 1.340028218717816992e+13
3.078999999999999773e+02 1.342597626999169336e+13
3.080000000000000000e+02 1.326900849665473633e+13
3.081000000000000227e+02 1.298899317686012500e+13
3.081999999999999886e+02 1.282885996940580469e+13
3.083000000000000114e+02 1.308257715937838281e+13
3.083999999999999773e+02 1.385349197450554688e+13
3.085000000000000000e+02 1.484970389445811328e+13
3.086000000000000227e+02 1.549155922130334961e+13
3.086999999999999886e+02 1.535369590418214258e+13
3.088000000000000114e+02 1.451245988476883789e+13
3.088999999999999773e+02 1.339890954458037695e+13
3.090000000000000000e+02 1.235737145058028320e+13
3.091000000000000227e+02 1.145565121313379688e+13
3.091999999999999886e+02 1.068693709655431445e+13
3.093000000000000114e+02 1.017223961126049609e+13
3.093999999999999773e+02 1.005130034645076562e+13
3.095000000000000000e+02 1.024294961574302148e+13
3.096000000000000227e+02 1.045011734340271875e+13
3.096999999999999886e+02 1.042033886781508203e+13
3.098000000000000114e+02 1.010349279222366992e+13
3.098999999999999773e+02 9.573669763391474609e+12
3.100000000000000000e+02 8.987954772229734375e+12
3.101000000000000227e+02 8.672779641443880859e+12
3.101999999999999886e+02 9.029613082073544922e+12
3.103000000000000114e+02 1.017853134731809766e+13
3.103999999999999773e+02 1.176672261094559180e+13
3.105000000000000000e+02 1.324531556634836523e+13
3.106000000000000227e+02 1.430800432837801562e+13
3.106999999999999886e+02 1.500195032295490039e+13
3.108000000000000114e+02 1.548281736001023047e+13
3.108999999999999773e+02 1.579494668047368164e+13
3.110000000000000000e+02 1.591524631181798242e+13
3.111000000000000227e+02 1.590409601830393750e+13
3.111999999999999886e+02 1.589724591146976367e+13
3.113000000000000114e+02 1.594874653402504297e+13
3.113999999999999773e+02 1.597134065347490430e+13
3.115000000000000000e+02 1.584895860699334375e+13
3.116000000000000227e+02 1.552209258907375781e+13
3.116999999999999886e+02 1.495221879870405469e+13
3.118000000000000114e+02 1.412351487318195117e+13
3.118999999999999773e+02 1.315625476404072852e+13
3.120000000000000000e+02 1.235283537910894727e+13
3.121000000000000227e+02 1.203243594836143359e+13
3.121999999999999886e+02 1.228945707885469531e+13
3.123000000000000114e+02 1.291676048455354883e+13
3.123999999999999773e+02 1.355890220859639648e+13
3.125000000000000000e+02 1.396718135441829688e+13
3.126000000000000227e+02 1.415212623483843750e+13
3.126999999999999886e+02 1.428324655420566016e+13
3.128000000000000114e+02 1.444089636592796094e+13
3.128999999999999773e+02 1.452407320693194141e+13
3.130000000000000000e+02 1.439450132536662695e+13
3.131000000000000227e+02 1.402231311551995312e+13
3.131999999999999886e+02 1.349564619673810742e+13
3.133000000000000114e+02 1.299014081539440820e+13
3.133999999999999773e+02 1.274037984300954883e+13
3.135000000000000000e+02 1.293527805432326953e+13
3.136000000000000227e+02 1.356683517354958594e+13
3.136999999999999886e+02 1.439300524246144531e+13
3.138000000000000114e+02 1.508145907544765820e+13
3.138999999999999773e+02 1.541387572178673438e+13
3.140000000000000000e+02 1.536594415185507617e+13
3.141000000000000227e+02 1.498436446107219531e+13
3.141999999999999886e+02 1.422888079057716016e+13
3.143000000000000114e+02 1.306532796927202734e+13
3.143999999999999773e+02 1.175134697920468945e+13
3.145000000000000000e+02 1.085442179482814648e+13
3.146000000000000227e+02 1.083783374222819336e+13
3.146999999999999886e+02 1.169399210442113477e+13
3.148000000000000114e+02 1.304187084987306250e+13
3.148999999999999773e+02 1.445691713261147852e+13
3.150000000000000000e+02 1.563104094923693164e+13
3.151000000000000227e+02 1.636545675232351758e+13
3.151999999999999886e+02 1.657686398625777539e+13
3.153000000000000114e+02 1.630614867016975195e+13
3.153999999999999773e+02 1.564955510663938867e+13
3.155000000000000000e+02 1.466839973769695508e+13
3.156000000000000227e+02 1.339244293423077148e+13
3.156999999999999886e+02 1.192333375885392773e+13
3.158000000000000114e+02 1.050882089450059570e+13
3.158999999999999773e+02 9.465208881714531250e+12
3.160000000000000000e+02 9.000045655668035156e+12
3.161000000000000227e+02 9.119692639372949219e+12
3.161999999999999886e+02 9.689781597951859375e+12
3.163000000000000114e+02 1.051761827015600000e+13
3.163999999999999773e+02 1.137184789933054492e+13
3.165000000000000000e+02 1.203105114371286914e+13
3.166000000000000227e+02 1.239478580123425781e+13
3.166999999999999886e+02 1.252830350218303516e+13
3.168000000000000114e+02 1.259654937045127539e+13
3.168999999999999773e+02 1.278898090782560156e+13
3.170000000000000000e+02 1.325841143531479883e+13
3.171000000000000227e+02 1.402803913165860938e+13
3.171999999999999886e+02 1.493604489046337109e+13
3.173000000000000114e+02 1.571257367814097656e+13
3.173999999999999773e+02 1.613210181878195703e+13
3.175000000000000000e+02 1.611066509489777539e+13
3.176000000000000227e+02 1.568833833607004883e+13
3.176999999999999886e+02 1.493432143426440625e+13
3.178000000000000114e+02 1.389147844069877930e+13
3.178999999999999773e+02 1.264346400001261719e+13
3.180000000000000000e+02 1.140024419594230078e+13
3.181000000000000227e+02 1.043910707287082227e+13
3.181999999999999886e+02 9.953592070311259766e+12
3.183000000000000114e+02 9.987750851369525391e+12
3.183999999999999773e+02 1.047480658183920703e+13
3.185000000000000000e+02 1.128264132983390820e+13
3.186000000000000227e+02 1.224810318044803125e+13
3.186999999999999886e+02 1.322399047422539453e+13
3.188000000000000114e+02 1.408766395394324219e+13
3.188999999999999773e+02 1.467259056154496875e+13
3.190000000000000000e+02 1.474287322102878516e+13
3.191000000000000227e+02 1.415433551220532812e+13
3.191999999999999886e+02 1.307479081260464648e+13
3.193000000000000114e+02 1.195868541531973633e+13
3.193999999999999773e+02 1.124009783223518555e+13
3.195000000000000000e+02 1.106648094843035547e+13
3.196000000000000227e+02 1.132678359622881445e+13
3.196999999999999886e+02 1.184928868058789453e+13
3.198000000000000114e+02 1.248813220130980859e+13
3.198999999999999773e+02 1.307956152311284766e+13
3.200000000000000000e+02 1.348382757863109375e+13
3.201000000000000227e+02 1.372062243741121680e+13
3.201999999999999886e+02 1.395450209313100391e+13
3.203000000000000114e+02 1.429847438102305859e+13
3.203999999999999773e+02 1.469231208707984961e+13
3.205000000000000000e+02 1.497848181094719531e+13
3.206000000000000227e+02 1.503201548811432031e+13
3.206999999999999886e+02 1.479962416316799805e+13
3.208000000000000114e+02 1.426493227333002344e+13
3.208999999999999773e+02 1.342980784461636328e+13
3.210000000000000000e+02 1.234888490985252930e+13
3.211000000000000227e+02 1.118135495922966992e+13
3.211999999999999886e+02 1.018668964392164062e+13
3.213000000000000114e+02 9.621894855656519531e+12
3.213999999999999773e+02 9.604556420722072266e+12
3.215000000000000000e+02 1.005621644812562305e+13
3.216000000000000227e+02 1.076487541745788477e+13
3.216999999999999886e+02 1.151217223214010742e+13
3.218000000000000114e+02 1.216594871728198047e+13
3.218999999999999773e+02 1.267260916633041992e+13
3.220000000000000000e+02 1.299800898913248438e+13
3.221000000000000227e+02 1.311381679369508594e+13
3.221999999999999886e+02 1.303586091093269141e+13
3.223000000000000114e+02 1.282620495210164844e+13
3.223999999999999773e+02 1.251192962796158203e+13
3.225000000000000000e+02 1.202871532738891602e+13
3.226000000000000227e+02 1.131421310187410352e+13
3.226999999999999886e+02 1.045563287374064062e+13
3.228000000000000114e+02 9.695644138908656250e+12
3.228999999999999773e+02 9.290268714513273438e+12
3.230000000000000000e+02 9.353963249317595703e+12
3.231000000000000227e+02 9.776486827105777344e+12
3.231999999999999886e+02 1.026134421136905273e+13
3.233000000000000114e+02 1.051850439040049023e+13
3.233999999999999773e+02 1.049359068920948242e+13
3.235000000000000000e+02 1.039990082328620508e+13
3.236000000000000227e+02 1.050355697938567969e+13
3.236999999999999886e+02 1.089713024108624805e+13
3.238000000000000114e+02 1.148329885826948828e+13
3.238999999999999773e+02 1.212562293451873242e+13
3.240000000000000000e+02 1.275841661666942969e+13
3.241000000000000227e+02 1.334630892355411914e+13
3.241999999999999886e+02 1.381775949658714844e+13
3.243000000000000114e+02 1.412620196094598242e+13
3.243999999999999773e+02 1.432844598793899609e+13
3.245000000000000000e+02 1.448727081157622852e+13
3.246000000000000227e+02 1.452596367508615039e+13
3.246999999999999886e+02 1.431679659578839648e+13
3.248000000000000114e+02 1.392577926420574609e+13
3.248999999999999773e+02 1.364141427409537109e+13
3.250000000000000000e+02 1.369982672558909570e+13
3.251000000000000227e+02 1.404871343815233008e+13
3.251999999999999886e+02 1.443754328257286133e+13
3.253000000000000114e+02 1.471285204249933789e+13
3.253999999999999773e+02 1.498163900843479688e+13
3.255000000000000000e+02 1.547399355703962695e+13
3.256000000000000227e+02 1.626311413811218359e+13
3.256999999999999886e+02 1.715064685192048438e+13
3.258000000000000114e+02 1.782878740111438672e+13
3.258999999999999773e+02 1.812026306131833984e+13
3.260000000000000000e+02 1.805927335871785156e+13
3.261000000000000227e+02 1.780097956676991406e+13
3.261999999999999886e+02 1.750233854479443164e+13
3.263000000000000114e+02 1.726865978990146289e+13
3.263999999999999773e+02 1.715554462732347656e+13
3.265000000000000000e+02 1.717915683976068945e+13
3.266000000000000227e+02 1.730250270256181250e+13
3.266999999999999886e+02 1.741117427644889258e+13
3.268000000000000114e+02 1.734611738066300195e+13
3.268999999999999773e+02 1.701793569820493945e+13
3.270000000000000000e+02 1.650331829125054102e+13
3.271000000000000227e+02 1.601622946312918164e+13
3.271999999999999886e+02 1.577166383275291797e+13
3.273000000000000114e+02 1.584364293725708984e+13
3.273999999999999773e+02 1.611569150048901367e+13
3.275000000000000000e+02 1.635992467106027344e+13
3.276000000000000227e+02 1.637984480621688477e+13
3.276999999999999886e+02 1.611385488644893555e+13
3.278000000000000114e+02 1.564887479934110742e+13
3.278999999999999773e+02 1.515142969204006445e+13
3.280000000000000000e+02 1.477168077078953906e+13
3.281000000000000227e+02 1.459594038048472070e+13
3.281999999999999886e+02 1.466314847179768164e+13
3.283000000000000114e+02 1.497908350364466797e+13
3.283999999999999773e+02 1.547601821924439062e+13
3.285000000000000000e+02 1.598229823792728516e+13
3.286000000000000227e+02 1.631136169668090820e+13
3.286999999999999886e+02 1.641764769781378906e+13
3.288000000000000114e+02 1.642018314687524023e+13
3.288999999999999773e+02 1.645152125144713477e+13
3.290000000000000000e+02 1.654373715303361523e+13
3.291000000000000227e+02 1.669771156935189844e+13
3.291999999999999886e+02 1.698514331746924219e+13
3.293000000000000114e+02 1.748082369139976367e+13
3.293999999999999773e+02 1.810856643327638281e+13
3.295000000000000000e+02 1.865035729950058984e+13
3.296000000000000227e+02 1.893965298730863281e+13
3.296999999999999886e+02 1.899557455077131641e+13
3.298000000000000114e+02 1.894801104529855859e+13
3.298999999999999773e+02 1.886646926598028906e+13
3.300000000000000000e+02 1.867679775290445703e+13
3.301000000000000227e+02 1.824222565197726562e+13
3.301999999999999886e+02 1.754051600428240625e+13
3.303000000000000114e+02 1.673731975233142969e+13
3.303999999999999773e+02 1.602827346227057227e+13
3.305000000000000000e+02 1.545271829754022656e+13
3.306000000000000227e+02 1.496935386747302148e+13
3.306999999999999886e+02 1.466191358559574609e+13
3.308000000000000114e+02 1.469574859077810742e+13
3.308999999999999773e+02 1.505691427926370898e+13
3.310000000000000000e+02 1.547744410347649609e+13
3.311000000000000227e+02 1.565911123634819336e+13
3.311999999999999886e+02 1.549363985990313477e+13
3.313000000000000114e+02 1.507488360183363086e+13
3.313999999999999773e+02 1.460563572708708594e+13
3.315000000000000000e+02 1.431964102331871484e+13
3.316000000000000227e+02 1.439624580184413672e+13
3.316999999999999886e+02 1.485611556732456836e+13
3.318000000000000114e+02 1.552021046296256836e+13
3.318999999999999773e+02 1.609147820175872852e+13
3.320000000000000000e+02 1.631592200824558203e+13
3.321000000000000227e+02 1.612350924502916406e+13
3.321999999999999886e+02 1.566997616658419922e+13
3.323000000000000114e+02 1.526029806805817188e+13
3.323999999999999773e+02 1.517687513556294727e+13
3.325000000000000000e+02 1.548074498354326953e+13
3.326000000000000227e+02 1.594062358952280469e+13
3.326999999999999886e+02 1.621388524506986328e+13
3.328000000000000114e+02 1.615310210182314062e+13
3.328999999999999773e+02 1.593420879238702539e+13
3.330000000000000000e+02 1.587271702226408398e+13
